qpid	cluster_GSZ	cluster_RM1sum	cluster_size	cluster_desccount	RM2	val_avg	jac_avg	desc	genename
TPPB_ECOLI	2967.46481372	86.4454487504	98	1323	1.83201894191	0.10383312661	7.29658761573e-05	Dipeptide and tripeptide permease A	DTPA
TPPB_ECOLI	169.936813569	1.76419283164	2	168	0.667923185402	0.0187705391982	3.70994758696e-06	Dipeptide/tripeptide permease DtpA	DTPA
SYS_BDEBA	624.355334481	70.3312219067	100	30916	1.07117962161	0.436673576148	2.46229964706e-05	Serine--tRNA ligase	SERS
NODB_BRASN	3946.19405047	11.1154876857	16	107	2.25884299305	0.170495894589	0.000127436490957	Nodulation protein NodB (Fragment)	NODB
NODB_BRASN	455.545194208	1.57888791067	2	162	0.773337581406	0.00211224673433	6.4768924435e-07	Chitooligosaccharide deacetylase (Fragment)	NODB
METK_PSYAR	585.47371988	76.7933090985	93	30693	1.06943310493	0.462723390047	1.10128449376e-05	S-adenosylmethionine synthase	METK
METK_PSYAR	113.540200619	5.59237766476	7	4325	0.648979010437	0.0255903583989	2.01192058691e-06	Methionine adenosyltransferase	METK
SYE_ACIAD	567.700595885	84.3348569715	99	36914	1.07942061298	0.494980796213	2.76316955118e-05	Glutamate--tRNA ligase	GLTX
SYE_ACIAD	330.177158724	0.807189751022	1	7	0.724730597897	0.00501450503845	0.00010233683752	GltX	GLTX
SYT_RHOBA	486.473928723	55.5186300869	74	37219	0.988329933232	0.384415171573	1.60404382315e-05	Threonine--tRNA ligase	THRS
SYT_RHOBA	30.5850364101	0.748846203011	1	1710	0.609111513816	0.0129764129878	1.84246057604e-08	Threonyl-tRNA synthetase	THRS
YIEG_ECOLI	2081.68082436	9.70210509295	11	44	1.45405965663	0.0591251496601	0.00254987848019	Inner membrane protein YieG	
YIEG_ECOLI	1047.83152927	22.9421491871	26	971	1.05857159784	0.0932745325668	0.000174193772685	Adenine permease AdeP	
YIEG_ECOLI	251.052881933	1.76401910781	2	100	0.707451898281	0.0321334549404	7.19494358396e-07	Inorganic anion transporter, sulfate permease (SulP) family	
YIEG_ECOLI	221.113434643	5.2874351761	6	1158	0.698050720576	0.0369912110257	2.43774082935e-07	Membrane transporter	
YIEG_ECOLI	217.475044988	3.52803821562	4	533	0.693417538003	0.0309951552183	4.38710372425e-06	Inner membrane protein yicO	
YIEG_ECOLI	95.9810103048	15.8669276756	18	55166	0.649677893242	0.0401609771735	8.56090111616e-06	Xanthine/uracil/vitamin C permease	
YIEG_ECOLI	18.0255714071	8.81547339172	10	458405	0.642779394257	0.0859786567643	2.38804552945e-05	MFS transporter	
DHMH_METFK	3291.34785435	28.6037118815	43	445	2.00039595206	0.177072015725	0.000432099059656	Methylamine dehydrogenase large subunit	MAUB
DHMH_METFK	182.379085543	2.08239197227	3	768	0.718146114056	0.104140471608	1.49431452371e-06	Amine dehydrogenase	MAUB
OMP51_HAEIN	774.344749439	37.7054210929	47	4867	0.956182123451	0.106483675085	0.000393794041721	Outer membrane protein A	OMPA
OMP51_HAEIN	676.820516817	15.517216776	20	1079	0.887151644433	0.0498551648653	1.00163974984e-05	Porin OmpA	OMPA
OMP51_HAEIN	158.678952495	20.7919624837	27	35184	0.653471580998	0.0	0.0	OmpA-like domain-containing protein	OMPA
OMP51_HAEIN	66.4924825827	0.827754170822	1	318	0.619854428548	0.0061460031571	2.69207321818e-06	Fimbrin	OMPA
PRZN_SERSP	833.538196116	81.2275188131	100	17340	0.98611432497	0.1182573186	0.00113338327148	Serralysin metalloprotease	
IF3_HAEDU	634.229311967	80.191686017	100	30122	0.919088293809	0.142256269855	3.72999798869e-05	Translation initiation factor IF-3	INFC
MPPA_ECOLI	1698.99174302	59.9457765962	68	1963	1.3317525328	0.117273844357	3.49041700297e-05	Periplasmic Murein Peptide-Binding Protein MppA	MPPA
MPPA_ECOLI	160.911326353	6.17501385666	7	2321	0.674700470954	0.0383695291158	4.49907430843e-06	Oligopeptide ABC transporter substrate-binding protein OppA	MPPA
MPPA_ECOLI	105.288274452	4.39402739288	5	2744	0.662264593402	0.0568854280522	3.37661130423e-07	ABC transporter, substrate-binding protein, family 5	MPPA
MPPA_ECOLI	89.2073548954	13.23217255	15	34574	0.639610432441	0.0262782750485	2.35337855119e-07	Peptide ABC transporter substrate-binding protein	MPPA
MPPA_ECOLI	16.0128411901	1.75761095715	2	18711	0.610238035817	0.0260998038004	1.66330786431e-07	Peptide/nickel transport system substrate-binding protein	MPPA
